date,Inv_Vol_Portfolio
2020-01-01,0.011436085335287446
2020-02-01,0.0014360974379371725
2020-03-01,-0.005002129846742242
2020-04-01,0.024013555333040885
2020-05-01,0.02099844583770773
2020-06-01,0.014471002033428387
2020-07-01,0.018863865171024983
2020-08-01,0.01656982631203854
2020-09-01,0.003587667417638544
2020-10-01,0.022495081614837625
2020-11-01,0.021815318488235164
2020-12-01,0.028348479048794187
2021-01-01,0.006719105457419578
2021-02-01,0.00940700691801341
2021-03-01,-0.003138523004370077
2021-04-01,0.014917942851205316
2021-05-01,0.011159521718015668
2021-06-01,0.011639038862068447
2021-07-01,0.019436868339196486
2021-08-01,0.019381090891022048
2021-09-01,0.017703237243296047
2021-10-01,0.008838152499343714
2021-11-01,0.006621851017621161
2021-12-01,0.006751798156790153
2022-01-01,0.007731472375293858
2022-02-01,0.010739915931080566
2022-03-01,0.016175590061268535
2022-04-01,0.015607763567932918
2022-05-01,0.009147363608563658
2022-06-01,0.0034377452273356758
2022-07-01,0.0192838225033647
2022-08-01,0.018975439143784408
2022-09-01,-0.0005739680897614515
2022-10-01,0.008106553159030866
2022-11-01,-0.00744642644603632
2022-12-01,0.011582447370097622
2023-01-01,0.01154706450904396
2023-02-01,0.00344553474071378
2023-03-01,0.005068278597339451
2023-04-01,0.003997157550650973
2023-05-01,0.02019013924669974
2023-06-01,0.01265974996725147
2023-07-01,0.006724230990238395
2023-08-01,0.005150964643441475
2023-09-01,0.0060000627693408875
2023-10-01,0.010775146377385152
2023-11-01,0.013647366078107423
2023-12-01,0.010310255229904407
2024-01-01,0.010011059546154197
2024-02-01,0.017934293534280183
2024-03-01,0.028505831924292138
2024-04-01,0.0017051902670488109
2024-05-01,0.010866879864013409
2024-06-01,0.017951551022338846
2024-07-01,0.010831648971583431
2024-08-01,0.008923998908273507
2024-09-01,0.0034404851264618593
2024-10-01,0.01752072728071721
2024-11-01,0.02953546887373847
2024-12-01,0.014595923854912974
2025-01-01,0.014752051227945893
2025-02-01,0.02097938771528984
2025-03-01,0.004513784067579878
2025-04-01,0.0026920946264582237
2025-05-01,0.00926585828927146
2025-06-01,0.009270442866990417
2025-07-01,0.013105043431534687
2025-08-01,0.014903194037767924
2025-09-01,0.022450949359312834
2025-10-01,0.014826718379016585
2025-11-01,0.0063765274686936385
2025-12-01,0.00717115664482745
2026-01-01,0.01924560096718263
2026-02-01,0.009612746568309006
2026-03-01,-0.015570963931845868
2026-04-01,0.018969621749557936
2026-05-01,
