Period,Return
2023-05,0.018000000000000002
2023-06,0.031
2023-07,0.024
2023-08,0.032
2023-09,0.042
2023-10,0.02
2023-11,0.035
2023-12,0.053
2024-01,0.022000000000000002
2024-02,0.01
2024-03,0.032
2024-04,0.028999999999999998
2024-05,0.057999999999999996
2024-06,0.035
2024-07,0.019
2024-08,0.023
2024-09,0.013000000000000001
2024-10,0.031
2024-11,0.028999999999999998
2024-12,0.009000000000000001
2025-01,0.018000000000000002
2025-02,0.008
2025-03,0.012
2025-04,0.013000000000000001
2025-05,0.019
2025-06,0.009000000000000001
2025-07,0.035
2025-08,-0.013000000000000001
2025-09,0.006
2025-10,0.027999999999999997
2025-11,0.009000000000000001
2025-12,0.022000000000000002
2026-01,0.027000000000000003
2026-02,0.004
