Date,Return
2013-04-01,0.0113
2013-05-01,0.0163
2013-06-01,0.0213
2013-07-01,0.0124
2013-08-01,0.0179
2013-09-01,0.0182
2013-10-01,0.023799999999999998
2013-11-01,0.0115
2013-12-01,0.0279
2014-01-01,0.0149
2014-02-01,0.022799999999999997
2014-03-01,0.0189
2014-04-01,0.011200000000000002
2014-05-01,0.013000000000000001
2014-06-01,0.0108
2014-07-01,-0.0027
2014-08-01,0.022799999999999997
2014-09-01,0.0191
2014-10-01,0.0013
2014-11-01,0.0236
2014-12-01,0.026699999999999998
2015-01-01,0.0152
2015-02-01,0.0143
2015-03-01,0.016200000000000003
2015-04-01,0.0131
2015-05-01,0.0199
2015-06-01,0.018600000000000002
2015-07-01,0.0144
2015-08-01,-0.08789999999999999
2015-09-01,0.042800000000000005
2015-10-01,-0.0897
2015-11-01,0.016200000000000003
2015-12-01,0.02
2016-01-01,0.0124
2016-02-01,0.0158
2016-03-01,0.0175
2016-04-01,0.0155
2016-05-01,0.0121
2016-06-01,0.018500000000000003
2016-07-01,0.0095
2016-08-01,0.0084
2016-09-01,0.0106
2016-10-01,0.0083
2016-11-01,0.0091
2016-12-01,0.0076
2017-01-01,0.010700000000000001
2017-02-01,0.0105
2017-03-01,0.01
2017-04-01,0.009899999999999999
2017-05-01,0.0138
2017-06-01,0.0083
2017-07-01,0.0063
2017-08-01,0.0109
2017-09-01,0.0089
2017-10-01,0.0124
2017-11-01,0.0008
2017-12-01,0.0103
2018-01-01,0.0134
2018-02-01,0.0317
2018-03-01,0.0154
2018-04-01,0.0128
2018-05-01,0.002
2018-06-01,0.0064
2018-07-01,0.0108
2018-08-01,0.0118
2018-09-01,0.0102
2018-10-01,0.011399999999999999
2018-11-01,0.0101
2018-12-01,0.012199999999999999
2019-01-01,0.0075
2019-02-01,0.0076
2019-03-01,0.006999999999999999
2019-04-01,0.0078000000000000005
2019-05-01,0.01
2019-06-01,0.0032
2019-07-01,0.009300000000000001
2019-08-01,0.005699999999999999
2019-09-01,0.0104
2019-10-01,0.0098
2019-11-01,0.006999999999999999
2019-12-01,0.011399999999999999
2020-01-01,0.0001
2020-02-01,0.011899999999999999
2020-03-01,0.0126
2020-04-01,0.0115
2020-05-01,0.0085
2020-06-01,0.004699999999999999
2020-07-01,0.009300000000000001
2020-08-01,0.008199999999999999
2020-09-01,0.0123
2020-10-01,0.010700000000000001
2020-11-01,-0.031400000000000004
2020-12-01,0.001
2021-01-01,0.009300000000000001
2021-02-01,0.0060999999999999995
2021-03-01,0.0076
2021-04-01,0.0043
2021-05-01,0.0096
2021-06-01,0.0067
2021-07-01,0.0052
2021-08-01,0.0062
2021-09-01,0.0064
2021-10-01,0.0063
2021-11-01,0.0015
2021-12-01,0.0126
2022-01-01,0.0134
2022-02-01,0.0063
2022-03-01,0.0078000000000000005
2022-04-01,0.0053
2022-05-01,0.006999999999999999
2022-06-01,0.0069
2022-07-01,0.0068000000000000005
2022-08-01,0.0084
2022-09-01,0.013300000000000001
2022-10-01,0.0029
2022-11-01,-0.0705
2022-12-01,-0.0639
2023-01-01,0.012199999999999999
2023-02-01,0.0042
2023-03-01,0.0028000000000000004
2023-04-01,0.0068000000000000005
2023-05-01,0.016200000000000003
2023-06-01,-0.0015
2023-07-01,0.0155
2023-08-01,0.0089
2023-09-01,0.0159
2023-10-01,0.0215
2023-11-01,0.0215
2023-12-01,-0.0008
2024-01-01,0.018500000000000003
2024-02-01,0.0148
2024-03-01,-0.0026
2024-04-01,0.0075
2024-05-01,0.011000000000000001
2024-06-01,0.014499999999999999
2024-07-01,0.024
2024-08-01,0.0109
2024-09-01,0.0264
2024-10-01,0.0332
2024-11-01,0.027200000000000002
2024-12-01,0.012199999999999999
2025-01-01,0.0064
2025-02-01,0.026699999999999998
2025-03-01,0.0059
2025-04-01,0.013000000000000001
2025-05-01,0.0068000000000000005
2025-06-01,0.003
2025-07-01,0.0034000000000000002
2025-08-01,0.0052
2025-09-01,0.011000000000000001
2025-10-01,-0.0059
2025-11-01,0.0
2025-12-01,0.0172
2026-01-01,0.0008
2026-02-01,0.0025
2026-03-01,0.0208
2026-04-01,0.0116
