Date,Return
2020-03-01,-0.02
2020-04-01,0.027200000000000002
2020-05-01,0.0004
2020-06-01,0.0192
2020-07-01,-0.0085
2020-08-01,-0.0127
2020-09-01,0.0014000000000000002
2020-10-01,0.0018
2020-11-01,0.0197
2020-12-01,0.0104
2021-01-01,-0.0042
2021-02-01,-0.0508
2021-03-01,0.0168
2021-04-01,0.0322
2021-05-01,0.063
2021-06-01,0.0273
2021-07-01,0.0315
2021-08-01,0.0297
2021-09-01,0.0521
2021-10-01,0.006500000000000001
2021-11-01,0.0291
2021-12-01,0.053399999999999996
2022-01-01,0.057300000000000004
2022-02-01,0.0388
2022-03-01,0.0063
2022-04-01,0.017
2022-05-01,0.0045000000000000005
2022-06-01,0.0163
2022-07-01,0.029900000000000003
2022-08-01,0.0492
2022-09-01,-0.0526
2022-10-01,0.0506
2022-11-01,0.0026
2022-12-01,0.0105
2023-01-01,0.0177
2023-02-01,0.0039000000000000003
2023-03-01,0.0060999999999999995
2023-04-01,0.0024
2023-05-01,0.0064
2023-06-01,0.014499999999999999
2023-07-01,-0.005699999999999999
2023-08-01,-0.0054
2023-09-01,-0.0060999999999999995
2023-10-01,-0.0045000000000000005
2023-11-01,0.0134
2023-12-01,-0.0008
2024-01-01,0.0151
2024-02-01,-0.0123
2024-03-01,-0.0008
2024-04-01,0.004699999999999999
2024-05-01,0.008
2024-06-01,0.01
2024-07-01,-0.0054
2024-08-01,-0.001
2024-09-01,-0.0165
2024-10-01,0.0172
2024-11-01,0.013000000000000001
2024-12-01,0.0089
2025-01-01,0.0098
2025-02-01,0.0175
2025-03-01,0.026600000000000002
2025-04-01,0.0278
2025-05-01,0.0137
2025-06-01,-0.0172
2025-07-01,0.0113
2025-08-01,0.013999999999999999
2025-09-01,0.0008
2025-10-01,-0.0097
2025-11-01,-0.0070999999999999995
2025-12-01,0.0111
2026-01-01,0.0036
2026-02-01,0.011200000000000002
2026-03-01,-0.061500000000000006
